"","Intercept","InterceptStdErr","Slope","SlopeStdErr","ResidStdErr","Rsq","AdjRsq","DegFree","Fstat","Pvalue"
"Complete",0.680756234864783,0.0973582230077941,0.372301523095978,0.037291958896061,0.385624346767057,0.504221203890326,0.499162236583084,98,99.6688006203492,1.31475815936905e-16
"Subsample1",0.693599343873243,0.157838043598798,0.400220185540289,0.0644853420696591,0.414118200195606,0.554079286231191,0.539694747077359,31,38.5190849915804,6.82997641341169e-07
"Subsample2",0.622761226423335,0.163457737305273,0.405860449738639,0.0634696616033119,0.343792268527632,0.56878789716654,0.554877829333203,31,40.8903755165997,4.01329760929796e-07
"Subsample3",0.569461926559696,0.173732950297003,0.395071558731835,0.0699005944301426,0.384378576309545,0.507499014838664,0.491611886285072,31,31.9440365278556,3.31403821055944e-06
"Subsample4",0.591892039948182,0.152590401623507,0.390817282606862,0.0600970684301637,0.387296169542923,0.577024619117504,0.563380251992262,31,42.2903175956047,2.95701513054091e-07
"Subsample5",0.622782436294568,0.175587950244646,0.407221615248574,0.0674708729863675,0.385232157756314,0.540246713847245,0.525415962681027,31,36.4274680218383,1.10918454878548e-06
"Subsample6",0.882913160433367,0.168968141153138,0.297651549991274,0.067865939319903,0.406298350410471,0.382911455067012,0.363005372972399,31,19.2359025370766,0.000123707684318346
"Subsample7",0.743627743104024,0.164258244582673,0.34243075389356,0.0646363251597444,0.368670632250772,0.4751700886924,0.458240091553446,31,28.0667554041734,9.14281277737644e-06
"Subsample8",0.72115324497914,0.165920185734887,0.40128327163906,0.0591992138117986,0.410090118148944,0.597132535178546,0.584136810506886,31,45.9483830463669,1.36850475561227e-07
"Subsample9",0.379466202344756,0.237991119100914,0.475376403476059,0.0823690745987723,0.387775419070818,0.517943919572936,0.502393723430127,31,33.3078705127761,2.3555886693439e-06
"Subsample10",0.891926236767539,0.161924006689068,0.269086702826423,0.0676254332209013,0.376023168000127,0.338074169082141,0.316721722923501,31,15.8330416370273,0.000387169644540395
"Subsample11",0.665031328597404,0.162931929601183,0.370258279222417,0.0684423796508373,0.391871406683638,0.485611470540119,0.469018292170446,31,29.2657295499001,6.63142397256378e-06
"Subsample12",0.636179576816134,0.176081824839412,0.378238612612008,0.0663815444086915,0.358642695528082,0.511554228846198,0.495797913647689,31,32.4666156015071,2.90505678377887e-06
"Subsample13",0.555182608265928,0.194766387731532,0.417679779687439,0.0699167280499007,0.370092030279792,0.535150184334791,0.520155028990752,31,35.6882054274635,1.32149475949473e-06
"Subsample14",0.732724488963593,0.160036817724674,0.331808150264921,0.0645441443532874,0.364379232633929,0.460191405918865,0.442778225464635,31,26.4277629884133,1.43443751656638e-05
"Subsample15",0.855113630565466,0.17082903635723,0.288268567251006,0.0676006006825141,0.405572819388646,0.369715899217775,0.349384154031252,31,18.1841694269725,0.000174353906250899
