River,Latitude,AbsoluteLatitude_10,MeanAirTemp,MeanPrecip,DrainageDensity,SlopeMax,SlopeCV,Log_Richness,Log_MeanAnnualQ,Log_LowFlowQ,Log_HighFlowQ,Log_BasinArea,Log_StreamLength,Log_ElevationRange
Albany,51.33,5.13,-0.6,0.743,2.252,4.1,1.309,1.556,3.001,2.233,3.469,5.124,4.476,2.752
Chubut,-43.85,4.39,9.1,0.18,1.715,21.1,1.199,1,1.674,1.033,1.914,5.262,4.496,3.339
Churchill_Fleuve_Labrador,53.25,5.32,-4,0.858,2.529,9.5,1.717,1.301,3.241,3.079,3.472,4.902,4.305,2.967
Columbia,46.18,4.62,5.5,0.511,1.987,40.5,0.951,1.663,3.826,3.552,3.981,5.86,5.158,3.575
Connecticut,41.99,4.2,6.1,1.131,1.83,18.6,0.808,1.82,2.689,2.332,3.108,4.464,3.727,3.236
Delaware,40.22,4.02,9.2,1.144,1.688,11.6,0.996,1.875,2.533,2.25,2.799,4.517,3.744,3.068
Eastmain,52.25,5.23,-2.8,0.813,2.94,8.5,1.398,1.255,2.958,2.312,3.265,4.633,4.102,3.046
Eel,40.49,4.05,11,1.439,1.619,20,0.594,1.146,2.318,0.591,2.744,3.976,3.185,3.35
George,58.15,5.82,-5.7,0.639,2.27,10.4,1.141,1.23,2.871,1.829,3.489,4.62,3.976,2.919
Grande_Riviere,53.73,5.37,-4.1,0.735,2.901,7,1.283,1.23,3.233,2.675,3.548,4.996,4.458,2.933
Homathko,50.98,5.1,0.2,0.651,2.089,37.7,0.573,1.398,2.429,1.792,2.84,3.756,3.076,3.543
Klamath,41.51,4.15,7.4,0.626,2.052,25.5,0.916,1.447,2.689,1.962,2.975,4.609,3.921,3.619
Merrimack,42.65,4.26,7,1.11,1.971,18.8,1.108,1.672,2.353,1.935,2.741,4.098,3.392,3.186
Moisie,50.35,5.04,-3.2,0.943,2.044,14.4,1.15,1.23,2.62,1.948,3.073,4.298,3.609,2.978
Moose_Hudson_Bay,50.81,5.08,0.7,0.805,2.273,7.5,1.152,1.544,2.89,2.335,3.476,5.037,4.394,2.786
Nass,55.26,5.53,0.8,0.798,2.446,33.4,0.637,1.462,2.89,2.125,3.317,4.324,3.713,3.401
Negro_Argentinia,-40.43,4.04,11.1,0.286,1.299,29.2,1.215,1.255,2.929,2.561,3.103,5.297,4.41,3.667
Nelson,56.4,5.64,1.7,0.468,2.484,33.9,2.854,1.924,3.522,3.475,3.549,6.02,5.415,3.533
Nisqually,46.93,4.69,8.7,1.697,2.419,30.4,1.147,1.322,1.567,1.114,1.804,3.266,2.649,3.628
Nouvelle,48.16,4.82,1.5,1.098,2.214,8,0.707,0.699,1.408,0.799,2.036,3.049,2.394,2.831
Rupert,51.45,5.14,-1.7,0.835,0.715,3.4,1.096,1.38,2.923,2.628,3.066,4.763,3.618,2.735
Saguenay,48.19,4.82,-0.2,0.95,2.205,13.6,1.221,1.176,3.166,2.969,3.456,4.932,4.275,3.032
Sainte_Croix,45.14,4.51,5.4,1.101,1.739,5,0.945,1.602,1.874,1.661,2.172,3.666,2.907,2.553
Santa_Cruz,-50.27,5.03,6.5,0.269,2.788,32.1,1.284,0.845,2.844,2.43,3.111,4.415,3.86,3.545
Severn_Hudson_Bay,55.38,5.54,-2.8,0.581,2.478,3.4,1.132,1.556,2.803,2.259,3.086,5.017,4.411,2.657
