passNumber,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of scientificName,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Agonostomus_monticola,Agosia_chrysogaster,Ambloplites_sp.,Ameiurus_melas,Ameiurus_natalis,Ameiurus_nebulosus,Anguilla_rostrata,Aphredoderus_sayanus,Awaous_banana,Campostoma_anomalum,Catostomidae_sp.,Catostomus_commersonii,Chordata_sp.,Chrosomus_erythrogaster,Clinostomus_funduloides,Cottus_bairdii,Cottus_caeruleomentum,Cottus_carolinae,Cottus_cognatus,Cottus_girardi,Cyprinella_camura,Cyprinella_lutrensis,Cyprinella_sp.,Cyprinella_venusta,Cyprinidae_sp.,Cyprinidae_spp.,Cyprinus_carpio,Cyprinus_sp.,Elassoma_sp.,Elassoma_zonatum,Erimyzon_oblongus,Esox_americanus,Esox_americanus_americanus,Esox_sp.,Etheostoma_chlorosomum,Etheostoma_exile,Etheostoma_flabellare,Etheostoma_histrio,Etheostoma_lachneri,Etheostoma_microperca,Etheostoma_nigrum,Etheostoma_radiosum,Etheostoma_sp.,Etheostoma_spectabile,Etheostoma_stigmaeum,Etheostoma_swaini,Etheostoma_tennesseense,Fundulidae_sp.,Fundulus_notatus,Fundulus_olivaceus,Fundulus_sp.,Fundulus_spp.,Fundulus_zebrinus,Gambusia_affinis,Gambusia_holbrooki,Gambusia_sp.,Gobiidae_sp.,Gobiomorus_dormitor,Hybognathus_hankinsoni,Hypentelium_etowanum,Ichthyomyzon_gagei,Ictaluridae_sp.,Lampetra_aepyptera,Lepomis_auritus,Lepomis_cyanellus,Lepomis_gulosus,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_microlophus,Lepomis_miniatus,Lepomis_sp.,Lepomis_spp.,Lota_lota,Luxilus_chrysocephalus,Luxilus_cornutus,Lythrurus_bellus,Lythrurus_umbratilis,Micropterus_dolomieu,Micropterus_henshalli,Micropterus_punctulatus,Micropterus_salmoides,Micropterus_sp.,Minytrema_melanops,Moxostoma_carinatum,Moxostoma_erythrurum,Moxostoma_pisolabrum,Moxostoma_poecilurum,Moxostoma_sp.,Moxostoma_spp.,Nocomis_asper,Nocomis_leptocephalus,Notemigonus_crysoleucas,Notropis_ammophilus,Notropis_atherinoides,Notropis_baileyi,Notropis_boops,Notropis_buchanani,Notropis_nubilus,Notropis_percobromus,Notropis_shumardi,Notropis_sp.,Notropis_spp.,Notropis_stilbius,Notropis_stramineus,Notropis_suttkusi,Notropis_telescopus,Notropis_texanus,Notropis_volucellus,Noturus_exilis,Noturus_funebris,Noturus_gyrinus,Noturus_leptacanthus,Noturus_nocturnus,Oncorhynchus_clarki,Oncorhynchus_clarkii_utah,Oncorhynchus_mykiss,Perciformes_sp.,Percina_caprodes,Percina_copelandi,Percina_nigrofasciata,Percina_sciera,Percina_sp.,Phenacobius_mirabilis,Phoxinus_erythrogaster,Pimephales_notatus,Pimephales_promelas,Pimephales_vigilax,Poecilia_reticulata,Poeciliidae_sp.,Poeciliopsis_sp.,Rhinichthys_atratulus,Rhinichthys_cataractae,Salmo_salar,Salmo_trutta,Salmonidae_sp.,Salmonidae_spp.,Salvelinus_fontinalis,Semotilus_atromaculatus,Semotilus_thoreauianus,Sicydium_plumieri,Sicydium_punctatum,Sicydium_sp.,Sicydium_spp.,Thymallus_arcticus,Tilapia_rendalli,Xiphophorus_hellerii,Grand Total
ARIK,,,,14,,,,,,118,,,,,,,,,,,,,,,41,1,,,,,,,,,,144,,,,,,,,576,,,,,,,,,16,502,,,,,359,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,162,1,,,,,,,,8,,,,,,,,,2391
BIGC,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178,179,1,,,,,,,,,,,1544
BLDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573,,,,,,,,,,573
BLUE,,,,1,9,,,,,158,,,,,,,,,,,1,,31,108,1,4,,2,,,,,,,,,,,,11,,467,43,91,,,,,,,,,,174,,22,,,,,,1,,,94,,11,15,,,32,,,,,,5,14,,1,1,,,,9,,,,,7,,,,,,58,4,1,,,49,,,16,61,,,62,,,,,38,,,,,10,4,,16,1,,,64,,,,,,,,,,,,,,,,,,,,,,1697
CARI,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,140
CUPE,253,,,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,32,51,9,14,,,,801
GUIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,,,,,,,,,,,,,,,,,1,1587,3221
HOPB,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1963,,31,62,,,275,1078,,,,,,,,,3417
KING,,,,,,,,,,1207,,46,,1387,,,,,,,,1,,,,,,,,,,,,,,,,,,,209,,,1269,,,1,,,,,,,56,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,1,,1,1,,,,,,,,,,6,,90,,,7,,,,,1,,,,,,,,,,,,,,,41,1,,,,,,,,,,,,,691,,,,,,,,,5022
LECO,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,,,,,,,,,,,,,,,2419,806,,,,,13,,,,,,,,,,4181
LEWI,,,,,,,,,,,1,,,,227,,,,,3297,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,26,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,1185,,,,,,,402,,,,,,,,,5167
MART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,,,,,,711
