FIPS,AAMR,PrecipCat_median,TmaxCat_median,LAI,Religion,Some_College,College_degree,HS_Edu,No_HS_Edu,No_HI_cov_Percent,IncomeBelowPov_Percent,Renter_Occ_Percent,Physically_Unhealthy_Days,Mentally_Unhealthy_Days,Pct_Smokers,Pct_Obese,Pct_Physically_Inactive,Social_Association_Rate,Violent_Crime_Rate,Pct_Severe_Housing_Problems,Pct_Food_Insecure,Pct_Rural
1001,874.5,1366.633889,24.1084787,239.5764028,676.8788889,28.4,26.6,33.6,11.5,8.8,10.9,26.7,4.224030558,4.181840019,17.38023938,34.1,28.6,13.71964979,265.6997471,14.72346786,14,42
1003,736.4,1658.48497,25.1145313,178.6815331,531.74,31.3,31.9,27.7,9.2,10.8,8.2,27.1,3.736320366,3.966089294,17.9371199,27.4,22.3,11.54359331,216.7730783,14.70287235,14,42.3
1005,886.3,1326.397785,24.79956609,257.4410977,549.99,26,11.6,35.6,26.8,12.3,20.5,37.5,4.806056641,4.768078188,22.77668861,44.4,31.8,8.182392978,328.659071,16.19565217,23,67.8
1007,929.9,1401.688955,23.91959514,270.3487283,498.8,23.8,10.4,44.9,20.9,8.1,11.9,24.6,4.354389668,4.3680625,19.85076584,40.3,33.9,10.21949702,147.2908995,13.68124119,16,68.4
1009,843.9,1411.752363,22.06735852,272.4408194,651.62,34,13.1,33.4,19.5,11,11.1,21.5,4.451573142,4.483831864,21.03738153,34.6,28,8.489405568,211.5988362,11.53481762,12,90
1011,934.4,1340.62638,24.35769335,270.430945,577.24,22.3,12.1,40.3,25.3,14.1,29.7,30,4.955858648,4.566029653,22.77492503,43,31.7,10.21924935,302.2860382,18.04812834,24,51.4
1013,933.2,1427.757102,24.79497776,268.4037211,586.1488889,23.7,16.1,45.2,15,11.4,19.3,29.9,5.242030843,4.977991008,21.83234745,36.3,34.4,11.82499015,523.4399357,16.45415908,23,71.2
1015,989.5,1351.003457,22.57788382,268.3838349,713.62,33.2,18.5,32.8,15.6,10.4,14.9,30.6,4.908456531,4.665515339,20.32038238,32.2,31.3,14.66579247,574.3235555,14.8799646,18,33.7
1017,960.5,1335.366963,23.53283822,272.0295265,650.33,31.6,13.3,36.7,18.4,12.2,14,33.5,4.758697054,4.732361861,20.90587472,39.7,31.6,18.48808546,526.8559699,19.24198251,21,49.1
1019,894.2,1378.17383,22.41104972,245.4564503,479.24,28.6,12.8,40.3,18.4,9,12.8,21.9,4.492099843,4.524315295,18.42082439,33.6,33.5,9.985789454,383.6007494,15.35821536,15,85.7
1021,933.2,1394.025388,23.71609139,253.4943916,698.58,24.6,12.7,44.4,18.2,14.8,16,24.7,4.660682419,4.490854876,20.11223045,35.9,30.4,15.93407844,345.8396851,15.61922366,14,86.7
1023,843.2,1392.848794,24.76958633,279.4897808,701.4188889,31.8,11.9,37.7,18.6,11,17.4,19.8,4.972630672,4.684587764,20.47858547,40.8,30,21.01628762,111.4249436,12.95289855,21,100
1025,854.4,1460.903921,25.06800026,271.6465777,792.3988889,26.6,12.2,41.8,19.4,10.9,17.8,34,4.860315121,4.696558854,20.05875892,38.2,27.5,19.64321507,439.4287426,15.16095535,25,76
1027,916.5,1419.46939,22.4273574,286.9748405,739.6588889,28.3,10.6,37.8,23.3,13.2,15,23.5,4.591038069,4.609635165,19.14268322,37.3,31.7,9.592680047,352.2080737,15.48672566,16,100
1029,919.8,1369.264134,22.00746005,292.549733,765.6288889,25.6,15.4,38,21,14.4,12.2,25.6,4.077727709,4.308741792,18.29197516,30,30.1,8.620689655,149.9250375,13.83928571,14,100
1031,833.2,1424.297542,25.19363443,249.2964803,661.11,35.9,22.8,27.2,14.1,10.5,13.1,34.6,4.292121602,4.195737439,18.56821751,33.7,28.7,15.9107427,321.1579928,13.89479277,16,47.2
1033,889.5,1457.870937,22.02423724,259.4746682,694.59,29.2,18.1,37.8,14.8,8.6,12.9,27.2,4.452163704,4.359371065,20.4485884,37.5,31.4,17.60079204,449.5892001,14.71248877,17,43.9
1035,910.4,1553.078774,24.97435235,268.2247056,570.7588889,20.4,12.8,51.1,15.7,15.7,21.9,22.4,5.324915858,5.097072835,22.92938126,36.4,31.6,11.04972376,566.4613136,20.22022022,25,80.9
1037,888.9,1378.387946,23.52625082,275.1567121,532.7988889,26.9,12.8,40.3,20,10,8.6,19.7,4.747638419,4.63226292,20.30492465,39.7,30.5,11.02333272,205.8489495,17.42508324,19,100
1039,914.3,1513.230534,25.4984438,247.274806,619.25,30.8,15.3,37.3,16.6,11.8,13.2,24.9,4.612618934,4.442932386,18.56733685,34,33,12.66023105,273.129856,15.15957447,17,69.7
