City,Miami_FL,Atlanta_GA,Richmond_VA,Newark_NJ,Chicago_IL,Austin_TX,Denver_CO,Reno_NV,San Francisco_CA,Portland_OR
Miami_FL,0,977,1334,1758,1916,1790,2776,3970,4164,4351
Atlanta_GA,977,0,746,1184,942,1318,1952,3206,3440,3492
Richmond_VA,1334,746,0,456,998,2029,2398,3659,3923,3819
Newark_NJ,1758,1184,456,0,1133,2607,2607,3839,4119,3916
Chicago_IL,1916,942,998,1133,0,1564,1476,2707,2986,2824
Austin_TX,1790,1318,2029,2607,1564,0,1235,2246,2406,2739
Denver_CO,2776,1952,2398,2607,1476,1235,0,1266,1524,1576
Reno_NV,3970,3206,3659,3839,2707,2246,1266,0,305,700
San Francisco_CA,4164,3440,3923,4119,2986,2406,1524,305,0,866
Portland_OR,4351,3492,3819,3916,2824,2739,1576,700,866,0
