"","ARIK_2023_11","BARC_2023_11","BIGC_2023_10","BLUE_2023_10","BLWA_2023_11","COMO_2023_09","CRAM_2023_09","CUPE_2023_11","FLNT_2023_10","GUIL_2023_11","HOPB_2023_10","LECO_2023_10","LEWI_2023_10","LIRO_2023_09","MART_2023_10","MAYF_2023_10","POSE_2023_10","PRIN_2023_11","PRLA_2023_09","PRPO_2023_09","REDB_2023_10","SUGG_2023_10","TECR_2023_09","TOMB_2023_11","TOOK_2023_09","WALK_2023_10","WLOU_2023_09"
"ARIK_2023_11",0,0.958112113268441,0.995158506607455,0.990423551937266,0.994103611724024,0.99990846280588,0.984194142287009,0.995604128880414,0.988801846700246,0.997226320872639,0.998399952203616,0.998626276008542,0.998006345631593,0.992583094817513,0.99921848118253,0.970692064911546,0.99724967633678,0.981754414536019,0.999807323638671,0.997447137558542,0.99913037320253,0.999833249884144,0.999973098518397,0.993233278075998,0.968558543021,0.998411027699953,0.99999936370192
"BARC_2023_11",0.958112113268441,0,0.980810857560514,0.74496770287799,0.854435175807391,0.993478537202965,0.54972303106675,0.949217249825971,0.829911803927416,0.984323671623429,0.99153267936713,0.991421831299494,0.99499325843812,0.5699499283803,0.958971651761338,0.832711670394916,0.990826273664606,0.975471877797513,0.956941267978937,0.952898934677548,0.997225410303397,0.692883453701731,0.999970774237878,0.890627859700043,0.845573323965322,0.955939031617888,0.999242416730102
"BIGC_2023_10",0.995158506607455,0.980810857560514,0,0.949719632679469,0.977374373185502,0.788411601597657,0.953397355401601,0.713321464617866,0.938822913255027,0.964541078335415,0.43504031854615,0.88876894782242,0.790439114025231,0.955616466026816,0.503021979737551,0.842382453727627,0.941385926036968,0.978580595154252,0.99786575887394,0.995855278195195,0.80554192246069,0.996536794567223,0.719206626055582,0.981902634544223,0.833420429693623,0.912130242796136,0.956023730184606
"BLUE_2023_10",0.990423551937266,0.74496770287799,0.949719632679469,0,0.678870188520493,0.899701653960493,0.814826620619478,0.927847334736703,0.626594844217363,0.859007491282734,0.976183127771695,0.935246483297101,0.970325099553412,0.714616682811314,0.945402755522759,0.778858568030761,0.986424858318491,0.935903805057814,0.990739986149251,0.987401110718606,0.949049087413655,0.978090660286073,0.97758978358515,0.6238400491927,0.787481780187712,0.982510534509987,0.936024994183865
"BLWA_2023_11",0.994103611724024,0.854435175807391,0.977374373185502,0.678870188520493,0,0.969454173992611,0.839914391985751,0.98095361620159,0.443525201671029,0.982084097254279,0.992326269451228,0.983114973619516,0.980494777946796,0.944801878827681,0.95720771297383,0.936571966167878,0.993190476336701,0.946068015547737,0.911220859264385,0.951282810702688,0.975971440155076,0.987128486827648,0.998698901159422,0.553036794838675,0.959312169292876,0.992186526590885,0.926033930457794
"COMO_2023_09",0.99990846280588,0.993478537202965,0.788411601597657,0.899701653960493,0.969454173992611,0,0.988694563301263,0.987755586220199,0.992118062051297,0.988161307742767,0.944388774430127,0.895918314100851,0.96445635949924,0.961374669118788,0.75607714870828,0.947270269622288,0.991003752238595,0.933152557263874,0.997959746589748,0.997204824970104,0.502805539891284,0.997414586777143,0.58402435737708,0.967709282766209,0.958626213491786,0.985924826632513,0.75852543286946
"CRAM_2023_09",0.984194142287009,0.54972303106675,0.953397355401601,0.814826620619478,0.839914391985751,0.988694563301263,0,0.914760599872718,0.717709141316277,0.973194787846718,0.976318419461865,0.973446470428049,0.976106355823308,0.606206918591667,0.970382974921409,0.659565521282608,0.97511992466997,0.963048311944049,0.97077520403481,0.964293436599258,0.989513349009601,0.756633532188057,0.994623978628926,0.800716206393305,0.605101362883026,0.975261005012668,0.999360180819896
"CUPE_2023_11",0.995604128880414,0.949217249825971,0.713321464617866,0.927847334736703,0.98095361620159,0.987755586220199,0.914760599872718,0,0.929145857833796,0.478546968065736,0.982311695483755,0.885494221010577,0.92390820732953,0.948008091075148,0.929181254998904,0.805166545590677,0.956698199984945,0.949774110335197,0.996516529748349,0.9965996212843,0.993218636695636,0.927422874377548,0.992484378632147,0.931678789553119,0.822724243345578,0.927524121310244,0.985034789699399
"FLNT_2023_10",0.988801846700246,0.829911803927416,0.938822913255027,0.626594844217363,0.443525201671029,0.992118062051297,0.717709141316277,0.929145857833796,0,0.678422343624624,0.983027350822321,0.967932445841664,0.980885676696408,0.9296354405359,0.969626166623992,0.776616952019782,0.984994464951243,0.95322300564997,0.982385089056841,0.992111575117192,0.982075311587436,0.977887304757185,0.994055530866238,0.396950406201335,0.812571403113207,0.987474500240663,0.999482714706614
"GUIL_2023_11",0.997226320872639,0.984323671623429,0.964541078335415,0.859007491282734,0.982084097254279,0.988161307742767,0.973194787846718,0.478546968065736,0.678422343624624,0,0.97964004928627,0.919297835831364,0.898544142553115,0.974034351073295,0.916146532011401,0.926481937824048,0.988334100742267,0.908471289331733,0.986534210048862,0.994829694806265,0.977337445743043,0.981701941148915,0.966621615715147,0.679026696536682,0.931952302566643,0.981375401615049,0.996927581476391
"HOPB_2023_10",0.998399952203616,0.99153267936713,0.43504031854615,0.976183127771695,0.992326269451228,0.944388774430127,0.976318419461865,0.982311695483755,0.983027350822321,0.97964004928627,0,0.748960366402623,0.792617075845416,0.962665508304139,0.466742826345466,0.950239750177137,0.965407534752969,0.980823937839882,0.999386201777667,0.998880875684076,0.831416811614093,0.994781100539345,0.95922213911617,0.991697613275904,0.96698649593655,0.774903371799096,0.978022176793451
