"wp","activity","start_date","end_date"
"Benthic sample","ARIK_core","2016-03-31","2016-03-31"
"Benthic sample","ARIK_core","2016-03-31","2016-03-31"
"Benthic sample","ARIK_core","2016-03-31","2016-03-31"
"Benthic sample","ARIK_core","2016-09-19","2016-09-19"
"Benthic sample","ARIK_core","2016-09-19","2016-09-19"
"Benthic sample","ARIK_core","2016-09-19","2016-09-19"
"Benthic sample","ARIK_core","2016-07-13","2016-07-13"
"Benthic sample","ARIK_core","2016-07-13","2016-07-13"
"Benthic sample","ARIK_core","2016-07-13","2016-07-13"
"Benthic sample","ARIK_core","2017-03-22","2017-03-22"
"Benthic sample","ARIK_core","2017-03-22","2017-03-22"
"Benthic sample","ARIK_core","2017-03-22","2017-03-22"
"Benthic sample","ARIK_core","2017-07-12","2017-07-12"
"Benthic sample","ARIK_core","2017-07-12","2017-07-12"
"Benthic sample","ARIK_core","2017-07-12","2017-07-12"
"Benthic sample","ARIK_core","2018-03-20","2018-03-20"
"Benthic sample","ARIK_core","2018-03-20","2018-03-20"
"Benthic sample","ARIK_core","2018-03-20","2018-03-20"
"Benthic sample","ARIK_core","2017-10-10","2017-10-10"
"Benthic sample","ARIK_core","2017-10-10","2017-10-10"
"Benthic sample","ARIK_core","2017-10-10","2017-10-10"
"Benthic sample","ARIK_core","2018-10-02","2018-10-02"
"Benthic sample","ARIK_core","2018-10-02","2018-10-02"
"Benthic sample","ARIK_core","2018-10-02","2018-10-02"
"Benthic sample","ARIK_core","2018-07-12","2018-07-12"
"Benthic sample","ARIK_core","2018-07-12","2018-07-12"
"Benthic sample","ARIK_core","2018-07-12","2018-07-12"
"Benthic sample","ARIK_core","2019-03-27","2019-03-27"
"Benthic sample","ARIK_core","2019-03-27","2019-03-27"
"Benthic sample","ARIK_core","2019-03-27","2019-03-27"
"Benthic sample","ARIK_core","2019-07-10","2019-07-10"
"Benthic sample","ARIK_core","2019-07-10","2019-07-10"
"Benthic sample","ARIK_core","2019-07-10","2019-07-10"
"Benthic sample","ARIK_core","2019-10-01","2019-10-01"
"Benthic sample","ARIK_core","2019-10-01","2019-10-01"
"Benthic sample","ARIK_core","2019-10-01","2019-10-01"
"Benthic sample","ARIK_core","2020-10-01","2020-10-01"
"Benthic sample","ARIK_core","2020-10-01","2020-10-01"
"Benthic sample","ARIK_core","2020-10-01","2020-10-01"
"Benthic sample","ARIK_core","2021-03-30","2021-03-30"
"Benthic sample","ARIK_core","2021-03-30","2021-03-30"
"Benthic sample","ARIK_core","2021-03-30","2021-03-30"
"Benthic sample","ARIK_core","2021-07-13","2021-07-13"
"Benthic sample","ARIK_core","2021-07-13","2021-07-13"
"Benthic sample","ARIK_core","2021-07-13","2021-07-13"
"Benthic sample","ARIK_core","2022-03-22","2022-03-22"
"Benthic sample","ARIK_core","2022-03-22","2022-03-22"
"Benthic sample","ARIK_core","2022-03-22","2022-03-22"
"Benthic sample","ARIK_core","2022-07-11","2022-07-11"
"Benthic sample","ARIK_core","2022-07-11","2022-07-11"
"Benthic sample","ARIK_core","2022-07-11","2022-07-11"
"Benthic sample","ARIK_core","2022-07-11","2022-07-11"
"Benthic sample","ARIK_core","2022-07-11","2022-07-11"
"Benthic sample","ARIK_core","2022-11-15","2022-11-15"
"Benthic sample","ARIK_core","2022-11-15","2022-11-15"
"Benthic sample","ARIK_core","2022-11-15","2022-11-15"
"Benthic sample","ARIK_core","2023-03-28","2023-03-28"
"Benthic sample","ARIK_core","2023-03-28","2023-03-28"
"Benthic sample","ARIK_core","2023-03-28","2023-03-28"
"Benthic sample","ARIK_core","2023-07-10","2023-07-10"
"Benthic sample","ARIK_core","2023-07-10","2023-07-10"
"Benthic sample","ARIK_core","2023-07-10","2023-07-10"
"Benthic sample","ARIK_core","2024-03-25","2024-03-25"
"Benthic sample","ARIK_core","2024-03-25","2024-03-25"
