"activity","spot_type","spot_date"
"ARIK_core",3,"2016-03"
"ARIK_core",3,"2016-07"
"ARIK_core",3,"2016-09"
"ARIK_core",3,"2017-03"
"ARIK_core",3,"2017-07"
"ARIK_core",3,"2017-10"
"ARIK_core",3,"2018-03"
"ARIK_core",3,"2018-07"
"ARIK_core",3,"2018-10"
"ARIK_core",3,"2019-03"
"ARIK_core",3,"2019-07"
"ARIK_core",3,"2019-10"
"ARIK_core",3,"2020-10"
"ARIK_core",3,"2021-03"
"ARIK_core",3,"2021-07"
"ARIK_core",3,"2022-03"
"ARIK_core",5,"2022-07"
"ARIK_core",3,"2022-11"
"ARIK_core",3,"2023-03"
"ARIK_core",3,"2023-07"
"ARIK_core",5,"2023-11"
"ARIK_core",3,"2024-03"
"ARIK_core",3,"2024-07"
"ARIK_kicknet",5,"2016-03"
"ARIK_kicknet",5,"2016-07"
"ARIK_kicknet",10,"2016-09"
"ARIK_kicknet",5,"2017-03"
"ARIK_kicknet",5,"2017-07"
"ARIK_kicknet",5,"2017-10"
"ARIK_kicknet",5,"2018-03"
"ARIK_kicknet",5,"2018-07"
"ARIK_kicknet",5,"2018-10"
"ARIK_kicknet",5,"2019-03"
"ARIK_kicknet",5,"2019-07"
"ARIK_kicknet",5,"2019-10"
"ARIK_kicknet",5,"2021-03"
"ARIK_kicknet",5,"2021-07"
"ARIK_kicknet",5,"2022-03"
"ARIK_kicknet",5,"2023-03"
"ARIK_kicknet",5,"2023-07"
"ARIK_kicknet",5,"2024-03"
