"","Coleoptera_Dytiscidae_Hydrovatus","Coleoptera_Hydrophilidae_Berosus","Diptera_Ceratopogonidae_Bezzia/Palpomyia","Diptera_Chironomidae_Ablabesmyia","Diptera_Chironomidae_Diplocladius","Diptera_Chironomidae_Hydrobaenus","Diptera_Chironomidae_Limnophyes","Diptera_Chironomidae_Paraphaenocladius","Diptera_Chironomidae_Paratanytarsus","Diptera_Chironomidae_Paratendipes","Diptera_Chironomidae_Pseudosmittia","Diptera_Chironomidae_Tanytarsus","Diptera_Simuliidae_Simulium","Diptera_Stratiomyidae_Odontomyia/Hedriodiscus","Diptera_Stratiomyidae_Stratiomys","Ephemeroptera_Caenidae_Caenis","Trichoptera_Limnephilidae_Limnephilus","Coleoptera_Dytiscidae_Desmopachria","Coleoptera_Dytiscidae_Heterosternuta","Coleoptera_Haliplidae_Peltodytes","Coleoptera_Hydrophilidae_Enochrus","Coleoptera_Hydrophilidae_Tropisternus","Diptera_Chironomidae_Acricotopus","Diptera_Chironomidae_Chironomus","Diptera_Chironomidae_Cladopelma","Diptera_Chironomidae_Cladotanytarsus","Diptera_Chironomidae_Clinotanypus","Diptera_Chironomidae_Cricotopus","Diptera_Chironomidae_Cryptochironomus","Diptera_Chironomidae_Cryptotendipes","Diptera_Chironomidae_Dicrotendipes","Diptera_Chironomidae_Larsia","Diptera_Chironomidae_Nanocladius","Diptera_Chironomidae_Procladius","Diptera_Chironomidae_Pseudochironomus","Diptera_Chironomidae_Zavrelimyia","Diptera_Empididae_Hemerodromia","Diptera_Tabanidae_Chrysops","Ephemeroptera_Baetidae_Baetis","Ephemeroptera_Baetidae_Callibaetis","Ephemeroptera_Baetidae_Fallceon","Hemiptera_Corixidae_Cenocorixa","Hemiptera_Corixidae_Sigara","Odonata_Aeshnidae_Aeshna","Odonata_Coenagrionidae_Coenagrion/Enallagma","Trichoptera_Rhyacophilidae_Rhyacophila","Coleoptera_Dytiscidae_Laccophilus","Coleoptera_Haliplidae_Haliplus","Diptera_Chironomidae_Goeldichironomus","Diptera_Chironomidae_Rheotanytarsus","Diptera_Chironomidae_Tanypus","Diptera_Chironomidae_Zavreliella","Diptera_Culicidae_Aedes","Diptera_Culicidae_Culex","Diptera_Tabanidae_Tabanus","Lepidoptera_Crambidae_Elophila","Odonata_Aeshnidae_Anax","Odonata_Libellulidae_Libellula","Diptera_Ceratopogonidae_Ceratopogon","Diptera_Ceratopogonidae_Monohelea","Diptera_Chironomidae_Apedilum","Diptera_Chironomidae_Diamesa","Diptera_Chironomidae_Eukiefferiella","Diptera_Chironomidae_Micropsectra","Diptera_Chironomidae_Micropsectra/Tanytarsus","Diptera_Chironomidae_Parametriocnemus","Diptera_Chironomidae_Phaenopsectra","Diptera_Chironomidae_Polypedilum","Diptera_Chironomidae_Thienemanniella","Diptera_Chironomidae_Tvetenia","Diptera_Psychodidae_Pericoma","Diptera_Tipulidae_Erioptera","Diptera_Tipulidae_Gonomyia","Diptera_Tipulidae_Pseudolimnophila","Diptera_Tipulidae_Tipula","Coleoptera_Dytiscidae_Platambus","Coleoptera_Elmidae_Dubiraphia","Diptera_Ceratopogonidae_Dasyhelea","Diptera_Chironomidae_Cricotopus/Orthocladius","Diptera_Chironomidae_Labrundinia","Diptera_Chironomidae_Microtendipes","Diptera_Chironomidae_Parakiefferiella","Diptera_Chironomidae_Stictochironomus","Diptera_Chironomidae_Thienemannimyia","Odonata_Coenagrionidae_Argia","Trichoptera_Hydroptilidae_Hydroptila","Trichoptera_Hydroptilidae_Oxyethira","Diptera_Chironomidae_Hydrosmittia","Diptera_Stratiomyidae_Hedriodiscus/Odontomyia","Diptera_Stratiomyidae_Odontomyia","Hemiptera_Notonectidae_Notonecta","Diptera_Ceratopogonidae_Stilobezzia","Diptera_Chironomidae_Orthocladius","Diptera_Chironomidae_Rheocricotopus","Diptera_Tipulidae_Helius","Coleoptera_Dytiscidae_Neoporus","Diptera_Chironomidae_Corynoneura","Diptera_Dixidae_Dixella","Hemiptera_Belostomatidae_Belostoma","Hemiptera_Gerridae_Gerris","Coleoptera_Dytiscidae_Liodessus","Coleoptera_Dytiscidae_Rhantus","Diptera_Chironomidae_Glyptotendipes","Diptera_Chironomidae_Lauterborniella","Diptera_Tipulidae_Rhabdomastix","Odonata_Libellulidae_Plathemis","Coleoptera_Chrysomelidae_Donacia","Coleoptera_Dytiscidae_Hygrotus","Diptera_Chironomidae_Chaetocladius","Diptera_Tipulidae_Molophilus","Odonata_Libellulidae_Orthemis","Odonata_Libellulidae_Sympetrum","Coleoptera_Dytiscidae_Copelatus","Diptera_Chironomidae_Endochironomus","Diptera_Chironomidae_Parachironomus","Coleoptera_Dytiscidae_Ilybius","Diptera_Stratiomyidae_Nemotelus","Diptera_Chironomidae_Psectrocladius","Hemiptera_Veliidae_Microvelia","Odonata_Coenagrionidae_Ischnura","Diptera_Ceratopogonidae_Atrichopogon","Diptera_Chironomidae_Allocladius","Coleoptera_Hydrochidae_Hydrochus","Coleoptera_Hydrophilidae_Anacaena","Diptera_Chironomidae_Pseudorthocladius","Diptera_Simuliidae_Stegopterna","Diptera_Tipulidae_Hexatoma","Diptera_Chironomidae_Conchapelopia","Diptera_Chironomidae_Natarsia","Diptera_Chironomidae_Pagastia","Ephemeroptera_Baetidae_Anafroptilum","Diptera_Tipulidae_Limnophila"
"ARIK_2016_03",3,2,11,1,6,13,21,26,4,14,96,6,6,3,1,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIK_2016_07",6,13,14,24,14,18,18,0,56,40,0,394,19,25,0,63,0,60,2,31,1,3,17,6,14,30,35,41,30,1,112,484,10,168,27,4,3,20,1,1,19,1,3,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIK_2016_09",5,0,1,5,0,0,0,0,0,0,0,31,0,0,0,9,0,0,0,11,0,1,0,25,102,0,247,0,0,0,5,13,0,216,2,0,0,2,0,2,0,0,0,0,0,0,5,6,1,1,27,12,1,5,1,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIK_2017_03",0,1,22,0,20,81,26,109,40,189,0,87,459,0,17,13,79,0,0,0,0,0,0,0,1,0,16,8,1,0,0,6,0,7,3,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,28,1,12,1,26,1,17,14,20,8,10,2,20,2,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIK_2017_07",0,0,59,6,0,2,0,0,0,117,0,8118,0,0,0,1580,0,0,0,57,0,27,0,11,269,1,153,8,335,18,108,300,43,1313,221,143,0,0,0,111,119,0,0,0,0,0,0,0,0,698,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,4,8,1,59,43,6,60,1,1446,16,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIK_2017_10",0,0,101,0,8,10,10,11,0,49,4,11,0,0,2,9,0,0,0,3,0,0,0,30,33,0,42,0,0,0,0,182,0,65,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,11,2,0,0,62,0,0,6,0,0,282,88,0,1,0,0,80,4,0,0,53,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIK_2018_03",2,0,155,0,5,2,5,129,0,343,6,21,433,0,0,0,6,0,0,0,0,0,0,59,6,0,16,2,2,0,0,11,0,2,0,2,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,396,0,10,30,15,5,4,0,2,7,0,0,0,2,320,254,0,0,2,0,23,0,0,0,0,24,0,0,1,81,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIK_2018_07",1,0,22,7,0,5,0,3,5,27,0,328,0,0,0,399,0,0,0,27,0,1,0,4,160,8,64,0,19,1,83,15,0,254,6,36,0,3,0,28,3,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,115,4,1,18,9,40,0,0,0,0,0,0,0,0,0,0,0,4,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIK_2018_10",2,30,0,0,0,0,14,0,0,79,0,44,0,0,0,210,0,0,0,3,0,7,0,6,337,0,85,0,0,0,5,4,0,137,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,19,91,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,14,329,23,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIK_2019_03",0,0,0,0,0,10,3,51,0,114,3,10,158,0,3,0,15,0,0,2,0,0,0,0,14,0,4,0,1,4,0,2,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,1,5,0,0,0,117,20,0,0,21,0,0,11,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,862,6,0,0,0,0,0,0,3,0,0,0,6,0,1,5,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
