FIPS,State,County,Latitude_dd,Longitude_dd,College_degree,Lack_HealthIns,Renter_Occ,Smokers,Physically_Inactive,Severe_Housing_Problems,Food_Insecure,Rural
6001,CA,Alameda,37.648081,-121.913304,47.4,6.9,47,9.9,15.8,24.5,15,0.4
6003,CA,Alpine,38.61761,-119.798999,34.5,12.1,16.8,15.6,18.6,16.5,15,100
6005,CA,Amador,38.44355,-120.653856,19.3,5.6,23,11.5,18.3,21.2,15,60.4
6007,CA,Butte,39.665959,-121.601919,27.2,8.4,41,14.5,19.1,23.2,18,18.9
6009,CA,Calaveras,38.187844,-120.555115,18.3,6.6,21.8,11.7,19.4,19.8,14,75.4
6011,CA,Colusa,39.177739,-122.237563,15,13.6,35.8,13,16.4,18,14,31.7
6013,CA,Contra Costa,37.919479,-121.951543,42.4,7.2,34.5,10.6,18.1,22.6,13,0.8
6015,CA,Del Norte,41.749903,-123.980998,14.8,8.1,38.1,15.4,18.7,25.2,19,33.7
6017,CA,El Dorado,38.785532,-120.534398,34.3,6,23.7,11.3,15.5,21.3,13,34.7
6019,CA,Fresno,36.761006,-119.655019,21.2,11.7,47,13.6,20.9,28.7,16,10.8
6021,CA,Glenn,39.602546,-122.4017,14.2,11.8,42.4,14.3,19,21.2,15,40.9
6023,CA,Humboldt,40.706673,-123.925818,30.4,12.3,43.5,15.9,14.7,25.9,18,29.8
6025,CA,Imperial,33.040816,-115.355395,15.2,11.8,43.6,13.8,20.9,27.1,17,17.4
6027,CA,Inyo,36.561977,-117.403927,27.2,7.7,36.3,12.3,18.4,19,14,46.4
6029,CA,Kern,35.346629,-118.729506,16.4,11.2,42.8,14.6,23.8,26,14,10.2
6031,CA,Kings,36.072478,-119.81553,14.7,10.3,48.2,15.2,20.4,25.2,16,10.9
6033,CA,Lake,39.094802,-122.746757,15.5,11.8,34.1,15,21,28.5,18,33.1
6035,CA,Lassen,40.721089,-120.629931,12.9,7,34,14.1,17.5,19,17,70.5
6037,CA,Los Angeles,34.196398,-118.261862,32.5,13.3,54.1,11.7,17.6,34.6,14,0.6
6039,CA,Madera,37.210039,-119.749852,14.6,11.7,37.7,15,19.9,27.2,13,32.9
6041,CA,Marin,38.051817,-122.745974,59.5,5.2,35.8,10,11.6,24.1,12,6.5
6043,CA,Mariposa,37.570034,-119.91286,24.6,4.9,29.3,12.2,17,19.5,16,100
6045,CA,Mendocino,39.432388,-123.442881,24.4,11.2,40.8,13.4,16.5,27.6,16,45.2
6047,CA,Merced,37.194806,-120.722802,13.8,11.1,48,15.3,24.8,26.2,16,14.3
6049,CA,Modoc,41.592919,-120.71837,15.2,16,27,14,19.2,19.1,18,70
6051,CA,Mono,37.915836,-118.875167,28.8,16.8,43.9,12.9,15.8,22.1,12,45.8
6053,CA,Monterey,36.240107,-121.315573,24.7,13.7,49.3,11.2,17.2,30.9,12,9.8
6055,CA,Napa,38.507351,-122.325995,35.7,7.4,36.9,11.7,16,24.5,11,13.4
6057,CA,Nevada,39.295191,-120.773446,37.2,9.7,25.8,12,17.2,23.1,14,42.1
6059,CA,Orange,33.675687,-117.777207,40.6,10.4,42.6,10.3,16.1,28.4,11,0.1
6061,CA,Placer,39.062032,-120.722718,39.7,6.1,29.2,10.1,14.8,20.2,13,13.8
6063,CA,Plumas,39.99517,-120.829516,23.7,6.6,27.4,12.6,15.4,21.2,18,74
6065,CA,Riverside,33.729828,-116.002239,22.3,12.3,35,13.4,20,27.5,12,4.6
6067,CA,Sacramento,38.450011,-121.340441,30.9,8.4,44.5,12.9,17.1,23.9,17,2.1
6069,CA,San Benito,36.610702,-121.085296,19.7,9.6,36.3,11.5,17.2,27.7,9,24
6071,CA,San Bernardino,34.85722,-116.181197,21,11.6,40.8,14.2,19.1,28.2,12,4.7
6073,CA,San Diego,33.023604,-116.776117,38.8,10.4,47,10.8,15.6,26.2,13,3.3
6075,CA,San Francisco,37.727239,-123.032229,58.1,5.5,62.7,9.9,15.5,26.9,16,0
6077,CA,San Joaquin,37.935034,-121.272237,18.8,9.7,44.3,13.2,20.5,27.2,16,8.5
6079,CA,San Luis Obispo,35.385227,-120.44754,35.4,8.6,40,11.9,14.1,24.5,14,16.6
6081,CA,San Mateo,37.414664,-122.371542,51,5.8,40.3,8.7,15.8,24.5,10,1.9
6083,CA,Santa Barbara,34.537378,-120.038485,34.2,12,47.7,11.5,14,29.6,12,5
6085,CA,Santa Clara,37.220777,-121.690622,52.4,6.2,43.1,8.4,15.2,24.2,11,1.1
6087,CA,Santa Cruz,37.012488,-122.007205,40.8,8.3,40.3,11.5,13.3,27.4,13,12
6089,CA,Shasta,40.760522,-122.04355,22.2,9.4,37.4,13.7,19.4,22.7,18,29.3
6091,CA,Sierra,39.576925,-120.521993,17.9,9.4,20.3,12.1,16.1,19.5,17,99.7
6093,CA,Siskiyou,41.587986,-122.533287,23.2,8.3,34.5,14.3,18.7,23.9,20,65.8
6095,CA,Solano,38.267226,-121.939594,26.9,7.4,40,11.6,18.2,23,15,3.7
6097,CA,Sonoma,38.532574,-122.945194,35.5,8.4,39.7,11.6,13.8,24.7,12,12.4
6099,CA,Stanislaus,37.562384,-121.002656,17.1,9.2,42.9,14.4,20,27.1,15,8
6101,CA,Sutter,39.035257,-121.702758,18.2,11.8,43,12.4,21.9,25.1,17,14.8
6103,CA,Tehama,40.126156,-122.232276,15.7,8.8,32.8,13.9,24.7,19,16,51.5
6105,CA,Trinity,40.647724,-123.114404,19.5,14.1,31.2,14.5,19.8,20.2,18,100
6107,CA,Tulare,36.230453,-118.780542,14.6,12.2,43.8,14.4,21.6,28.1,14,15.5
6109,CA,Tuolumne,38.021451,-119.964708,20.5,6.6,30.6,13.1,16.8,22.5,16,49
6111,CA,Ventura,34.358742,-119.133143,33.8,10.8,36.8,9.9,18.1,25.1,9,3.1
6113,CA,Yolo,38.679268,-121.903178,41.4,7.7,48.1,11.9,15.3,24.2,15,6.9
6115,CA,Yuba,39.270026,-121.34428,17.1,10.2,41.8,15.4,15.7,24.8,18,26.2
55001,WI,Adams,43.973763,-89.767223,13.9,6.4,15.3,16.8,24.2,14.4,12,100
55003,WI,Ashland,46.546291,-90.665154,19.8,6.5,31.5,20.6,21.6,15.4,14,54.9
55005,WI,Barron,45.437192,-91.852892,20.6,7.3,25.5,18.1,24.8,13.3,12,65.9
55007,WI,Bayfield,46.634199,-91.177282,31.1,7.7,16.5,16.7,20,13.6,13,100
55009,WI,Brown,44.473961,-87.995926,30.3,6.5,34.9,17.2,20,13.9,11,14.5
55011,WI,Buffalo,44.389759,-91.758714,19.3,6,24.7,16.3,25.4,13.9,11,100
55013,WI,Burnett,45.865255,-92.367978,20.8,7.6,19.2,17.6,23.8,18.9,13,100
55015,WI,Calumet,44.07841,-88.212132,29.4,3.7,19.2,14.8,22,10,8,27.5
55017,WI,Chippewa,45.069092,-91.283505,21,6.2,27.8,16.7,21.4,12.7,11,46.1
55019,WI,Clark,44.733596,-90.610201,12.6,22.5,22.2,17.9,23.9,15.6,11,91.7
55021,WI,Columbia,43.471882,-89.330472,23.3,5.6,26.1,16.1,22.2,11.8,10,60.7
55023,WI,Crawford,43.24991,-90.95123,18.4,6.8,23.9,17.1,21.4,12.4,12,62.4
55025,WI,Dane,43.067468,-89.417852,51.4,5,41.7,14.5,15.5,17.2,12,12.3
55027,WI,Dodge,43.422706,-88.704379,17,4.6,29.6,16.9,22.4,12.8,11,48.6
55029,WI,Door,45.067808,-87.087936,33.7,4.3,21.7,14.7,21.5,15.2,12,69
55031,WI,Douglas,46.463316,-91.89258,24.1,6.6,32.8,18.8,23,13.2,13,38.8
55033,WI,Dunn,44.947741,-91.89772,27.9,7,31.5,16.9,22.1,17.2,12,59.3
55035,WI,Eau Claire,44.726355,-91.286414,32.3,8,37.1,17.6,17.2,15.7,13,23
55037,WI,Florence,45.849646,-88.400322,19.9,7,13.5,15.6,24.3,15,11,100
55039,WI,Fond du Lac,43.754722,-88.493284,23.1,4.7,28.8,15.5,22.2,12.8,10,35.1
55041,WI,Forest,45.666882,-88.773225,14.7,13.2,25.1,18.7,24.8,13.4,14,100
55043,WI,Grant,42.870062,-90.695368,23.8,7.3,30.8,17.4,21.4,13,12,64.5
55045,WI,Green,42.677728,-89.605639,23.6,5,26.3,15.6,21.2,12.4,10,60.2
55047,WI,Green Lake,43.76141,-88.987228,20.2,9.2,25.8,16.7,23.6,12.8,11,74.3
55049,WI,Iowa,43.001021,-90.133692,24.6,5.4,25.8,16.2,20.8,12.9,10,79.9
55051,WI,Iron,46.32655,-90.261299,20,8.4,23.8,14.9,21.9,15.4,14,67.8
55053,WI,Jackson,44.324895,-90.806541,14.6,9.9,25.5,17.5,23.4,15.8,13,72.2
55055,WI,Jefferson,43.013807,-88.773986,25.4,5.6,30.3,15.7,15.8,14,10,34.1
55057,WI,Juneau,43.932836,-90.113984,13.7,6.7,23,18.4,29.4,14.9,12,83.5
55059,WI,Kenosha,42.579703,-87.424898,26.1,7.7,34.4,17.6,20.4,18.7,12,10.7
55061,WI,Kewaunee,44.500949,-87.161813,19.4,4.2,21.8,15.7,26.9,11.5,10,72.3
55063,WI,La Crosse,43.908222,-91.111758,34.9,5.5,36.2,16.2,19.9,14,12,16.8
55065,WI,Lafayette,42.655578,-90.130292,18.8,9.3,24.3,16.3,20.9,13.2,10,100
55067,WI,Langlade,45.259204,-89.06819,16.7,7.3,23.3,18.3,22.1,16.1,13,59.2
55069,WI,Lincoln,45.338319,-89.742082,18.4,5.5,22.5,17,24.4,12.9,11,54
55071,WI,Manitowoc,44.105108,-87.313828,20.2,4.5,25,15.8,19.6,11.4,11,38.9
55073,WI,Marathon,44.898036,-89.757823,25.4,6.5,27.2,17.6,22,11.8,11,43
55075,WI,Marinette,45.346899,-87.991198,15.9,5.9,25.6,16.4,23.1,15.3,12,61.8
55077,WI,Marquette,43.826053,-89.409095,15.1,7.9,19.1,16.6,21.7,14,11,100
55078,WI,Menominee,44.991304,-88.669251,17.9,24.9,33.7,35.7,29.4,20.9,18,100
55079,WI,Milwaukee,43.017655,-87.481575,31,8.8,50.3,20.3,22,22.6,18,0.2
55081,WI,Monroe,43.945175,-90.619969,20.6,8.9,30.1,17.4,24.3,14.5,12,57.7
55083,WI,Oconto,44.996575,-88.206516,16.8,5.1,16.7,15.5,24.8,11.2,10,81.3
55085,WI,Oneida,45.713791,-89.536693,27.2,5.6,16.3,16.5,21.8,13.9,11,75
55087,WI,Outagamie,44.418226,-88.464988,29.7,5.2,29.5,15.2,18.7,11.8,10,24.7
55089,WI,Ozaukee,43.360715,-87.496553,49,3.6,24.8,14.1,18.9,10.8,8,24.9
55091,WI,Pepin,44.627436,-91.83489,20.6,8.4,18.8,16.5,25.5,11.5,10,100
55093,WI,Pierce,44.725337,-92.426279,29.2,5.6,27.2,16,21.6,15,10,53.6
55095,WI,Polk,45.46803,-92.453154,20.9,7.3,21.6,16.1,19.9,16,11,85.5
55097,WI,Portage,44.476246,-89.49807,32.9,5.1,31.4,16.9,21,14.2,12,36
55099,WI,Price,45.679072,-90.35965,16.5,5.5,21.8,17.2,18.5,15.7,11,100
55101,WI,Racine,42.754075,-87.414676,25.2,6.4,31,17.9,21.4,15.8,12,12.3
55103,WI,Richland,43.376199,-90.435693,19,8,25.8,18.1,18.6,16.5,11,72.1
