FIPS,State,County,College_degree,Lack_HealthIns,Renter_Occ,Smokers,Physically_Inactive,Severe_Housing_Problems,Food_Insecure,Rural
51001,VA,Accomack,19.5,16.7,30,17.9,27.7,17.8,15,100
51003,VA,Albemarle,55.1,7.6,36.4,14.2,17.7,14.2,10,45
51510,VA,Alexandria,63.1,13.7,56.9,15.3,14.7,15,11,0
51005,VA,Alleghany,15,7.4,23.9,16.9,27.1,13.7,11,52.4
51007,VA,Amelia,17.1,12.8,16.4,16,27.1,16.1,12,100
51009,VA,Amherst,19.1,10.1,23.1,15.8,29.8,11.4,12,63.7
51011,VA,Appomattox,20.9,8.5,19,16.7,25.7,13,13,100
51013,VA,Arlington,75.3,7.8,55.5,12.2,13.4,14.5,8,0
51015,VA,Augusta,22.7,9.6,20.9,16.5,25.3,10.8,9,66.4
51017,VA,Bath,15.9,13.6,26.1,17.4,26.8,11.4,10,100
51019,VA,Bedford,29.2,7.8,18.6,15.3,24,12,9,78.4
51021,VA,Bland,14.2,8.6,17.4,15.2,25.3,10.1,11,100
51023,VA,Botetourt,28.3,4.8,14.8,13.6,21.9,10.4,7,64.1
51520,VA,Bristol,25.4,11.2,41.1,19.1,25.2,16.6,15,0
51025,VA,Brunswick,13.6,8.7,26.1,19.7,25.6,15.5,21,75.5
51027,VA,Buchanan,11.8,13.6,21.1,20.5,34.1,12.9,15,100
51029,VA,Buckingham,12.5,13.2,24.7,18.8,33.9,15.7,17,100
51530,VA,Buena Vista,15.9,17.3,37.7,21.5,22.4,19.2,14,3.9
51031,VA,Campbell,22.5,9.4,25,17.3,25.1,11.6,12,61.1
51033,VA,Caroline,19.9,8.6,19.9,18.4,20.7,15.1,13,78.4
51035,VA,Carroll,15,12.9,22,18.9,25.4,11.2,12,97.1
51036,VA,Charles City,14.7,10,16.7,17.7,27.9,13.7,16,100
51037,VA,Charlotte,10.9,13.5,28.8,19.2,28.5,16.1,16,100
51540,VA,Charlottesville,54.9,9.2,55.9,19.8,18.4,21,17,0
51550,VA,Chesapeake,33.2,8.1,29.1,15.1,21.4,17.1,12,7.6
51041,VA,Chesterfield,40.5,7.8,24.7,15.2,19.7,12.5,10,5.9
51043,VA,Clarke,32.2,14.3,25,14.8,22.1,13.8,8,69.5
51570,VA,Colonial Heights,25.5,10.5,37,15,25.8,14.1,12,0
51045,VA,Craig,23.6,8.1,26,16.3,22.9,4.7,10,100
51047,VA,Culpeper,25.7,10.8,27.1,16.1,22.9,16.9,10,61.9
51049,VA,Cumberland,14.9,13.5,27.7,18.7,22.8,21,16,96
51590,VA,Danville,17.6,11.3,46.8,20.7,28.8,19.3,23,4.5
51051,VA,Dickenson,10.7,10.7,24,18.5,26.3,13.2,14,100
51053,VA,Dinwiddie,18.6,10.7,22.9,17,26.5,12.3,14,71.2
51595,VA,Emporia,13.8,21.3,57.4,23.5,27.6,24.7,28,6.3
51057,VA,Essex,17.4,10.1,29.5,17.8,27.2,13.9,15,77.3
51600,VA,Fairfax,60.8,11,30,10.7,16.1,16.3,6,0
