Etheostoma_olmstedi_presence,Slope,ArbolateSum,ElevCat,PctAg2006Slp10Cat,CBNFCat,FertCat,ManureCat,Pestic97Cat,BFICat,RunoffCat,RdDensCat,PctImp2001Cat,Al2O3Cat,CaOCat,Fe2O3Cat,K2OCat,MgOCat,Na2OCat,P2O5Cat,SCat,NCat,HydrlCondCat,KffactCat,ClayCat,SandCat,OmCat,PermCat,RckDepCat,WtDepCat,InorgNWetDep_2008Cat,NH4_2008Cat,NO3_2008Cat,SN_2008Cat,PctConif2001Cat,PctCrop2001Cat,PctDecid2001Cat,PctGrs2001Cat,PctHay2001Cat,PctMxFst2001Cat,PctUrban2001Cat,PctWdWet2001Cat,HUDen2010Cat,PopDen2010Cat,Precip8110Cat,Tmax8110Cat,Tmean8110Cat,Tmin8110Cat,MSST_2008,MWST_2008
0,-9.115030192,2.39780436,4.369299965,0,0,0,0,0.003751839,41,367,0.157226354,0.247152092,14.94166756,0.875468777,1.042041951,1.33894068,-0.097061681,1.276758485,-2.002480464,-3.989984547,-4.909659377,-7.363461604,0.28,33.89,41.88,-0.820980552,1.906575144,146.05,172.82,3.355693102,2.101045132,7.641108513,481.4735718,2.709295531,0,3.783977207,3.193126579,0,0,2.137313616,1.735699957,0.103952298,0.29162537,1169.937308,20.58606558,14.12385244,7.653420885,21.87115151,4.795583284
0,-3.839485623,0.601031892,5.334484361,0.28776543,0.335376032,0.983410115,0.147890953,0.675012688,52.07435812,372,1.100157865,0.186536292,13.96282959,0.605366239,1.750115626,0.701191761,0.630964827,0.942707868,-2.021172686,-3.095552631,-3.228673718,-2.029981126,0.43,40.6,14.23,-1.049822124,1.16938136,146.55,168.4,3.324833816,2.055901293,7.664679414,478.6275983,2.901736668,0,4.126386545,1.142324401,2.468404671,1.603015197,1.427369741,0.209783613,1.652306335,2.256585553,1119.937003,19.8545986,13.4918578,7.122380538,19.43748619,5.157818351
0,-5.504611175,0.874635057,4.318792778,1.02910541,1.12231008,2.300424487,0.525111581,1.338539654,42,351,1.517350621,0,14.75,0.693147181,0.832909102,1.212983906,-0.510825584,1.526056283,-2.407945564,-5.298317367,-5.449140256,-3.675292141,0.28,33.89,41.88,-0.820980552,1.906575144,146.05,172.82,3.5772135,2.256023952,8.098858754,512.0744359,0,2.554938151,3.685095325,0,3.163864913,0,0,2.011540058,2.321010104,3.23210854,1132.533252,20.17700494,13.56598171,6.947620442,20.09428298,6.107443094
0,-3.392414366,-0.311974765,4.861730235,2.211017899,1.944838146,2.478846658,2.128529281,3.222964633,59,420,2.521690648,0.204979581,2.110398213,3.637577405,-0.010588416,-0.676486594,1.452339575,-1.584771115,-2.628578509,-2.891159002,-3.398719883,-2.199111173,0.29,36.8639,22.1345375,0.025716479,1.204225272,160.6520625,175.429575,3.723322625,2.386342115,8.298718374,531.3926668,1.981001469,0,4.01186834,0,3.590439381,0,1.658228077,0,2.663492105,3.556624548,995.4550266,18.36677487,11.91113618,5.451227544,18.06727082,4.820913787
0,-5.054734528,4.933545445,6.472244258,0.826678573,0.756792446,0.97294108,0.18707216,0.920798213,48,445,0.846139537,0.062303883,4.880029749,2.919910345,1.049576225,-0.018343636,0.727114473,-0.921471906,-1.271117898,-0.399787521,-2.362272817,-2.468228699,0.25,19.47864286,35.79828571,-0.475734305,2.585863197,113.0690714,155.8317571,2.569179199,1.555130401,6.042638637,390.2082515,0.944461609,0,4.478958875,0,2.423537704,0,0.693147181,0,1.425418308,1.844061936,1052.309249,17.42514916,11.41019745,5.385688291,20.06881304,3.15536535
1,-5.178266682,1.911762262,5.910857328,2.24031046,1.460512632,2.616030568,1.738107356,4.100771773,37.89636239,349,3.470747292,0.683145373,5.590938764,2.589013285,0.961163675,0.033372889,0.920522296,-0.808984217,-1.728468337,-0.718181665,-2.565069666,-2.56921635,0.286481354,16.55320979,35.49343857,-0.140870082,2.772647774,80.64852894,172.8116358,3.606594353,2.200299081,8.420621002,536.1846175,0.39233884,0,4.094005147,0,3.352289389,0.649781536,2.535445637,0,2.115722779,2.608827599,985.2299892,17.33513454,10.94529074,4.550736195,18.34735161,3.509420967
1,-4.678696174,0.43567095,3.722205303,0,0.267706526,0.428102871,0,2.140666629,49.62908574,366.3893889,3.615610627,0.241635654,9.498184956,1.111171201,3.260306171,0.527575375,0.116222174,-0.17972211,-2.064760391,-2.115570283,-0.116330803,2.019217762,0.2,16.12,55.28,-0.733969175,2.574137784,152.4,158.95,3.918617974,2.480995199,8.839476476,565.1399109,1.505287255,1.029653253,4.368499985,1.012590904,0,0.922618372,1.704791156,2.019848925,2.642789606,3.514151053,1130.751964,20.62846725,14.45089485,8.269746957,20.38282087,8.299160339
0,-3.990371108,-1.57987911,5.502751992,2.514759613,0.949813424,1.292545462,0.162234799,1.645417238,53,505,2.46325376,0.534630925,14.75,0.693147181,0.832909102,1.212983906,-0.510825584,1.526056283,-2.407945564,-5.298317367,-5.449140256,-3.675292141,0.22,28.35,36.1,-0.510825624,2.07819076,146.15,182.88,3.288487673,1.996085167,7.711840153,472.1046448,2.729040477,0,3.960380175,0,2.92389445,2.322833254,1.981001469,0,1.879372511,2.475377678,1146.283391,20.01330263,13.36611962,6.714559664,17.89533904,3.74598093
1,-6.151145156,2.062041027,2.916211161,0,2.0550184,3.290881265,2.21576037,6.171454015,35,356,0.896709667,0.131604486,14.57588863,1.851118831,1.702509569,0.944627084,1.294496979,-0.123549406,-1.462234147,-3.382395225,-0.269040909,1.368598189,0.25,27.8,39.88,-0.274436846,2.868466923,152.4,22.09,3.892974548,2.854201007,7.455992645,499.0134307,0.95218892,3.812214015,2.732659339,0.097733972,1.932027191,1.327624962,1.640570405,3.025769421,2.008721982,2.615919541,1187.679217,21.70985568,15.34754888,8.980517462,23.51342489,10.18918195
0,-9.115030192,2.28716684,4.736601876,0,0,0,0,0.771296668,50,420,3.110809565,0,6.11867094,2.41783901,1.113611556,0.23544908,0.858898854,-0.582063848,-0.996281358,0.419965467,-1.323173109,-2.624486036,0.3,36.08,9.46,-0.527632742,1.252762968,176.82,162.45,3.887636662,2.457553148,8.782738686,559.6918945,0,0,3.713572067,0,0,0,0,3.044522438,2.513845749,3.390318931,1024.984467,18.09926701,11.88554955,5.663757324,18.47473081,3.613446841
