"unixtime","temp","oxy","disc"
1661990401,19.385,8.559,0.054816
1661991001,19.37,8.558,0.054793
1661991601,19.3475,8.5605,0.054837
1661992201,19.3225,8.5665,0.054329
1661992801,19.3,8.5765,0.054337
1661993401,19.2775,8.58,0.053962
1661994001,19.2475,8.5825,0.05381
1661994601,19.2225,8.593,0.053766
1661995201,19.1925,8.5995,0.053461
1661995801,19.16,8.6075,0.053538
1661996401,19.13,8.614,0.053605
1661997001,19.1025,8.6195,0.053465
1661997601,19.0675,8.626,0.053641
1661998201,19.0375,8.6365,0.053591
1661998801,19.0075,8.6395,0.053612
1661999401,18.9725,8.6475,0.053574
1662000001,18.95,8.652,0.053686
1662000601,18.9225,8.659,0.053439
1662001201,18.895,8.663,0.053657
1662001801,18.865,8.6675,0.053437
1662002401,18.84,8.674,0.053879
1662003001,18.8125,8.6765,0.053589
1662003601,18.785,8.679,0.05386
1662004201,18.765,8.6835,0.053737
1662004801,18.745,8.69,0.053976
1662005401,18.715,8.699,0.053844
1662006001,18.69,8.699,0.053617
1662006601,18.67,8.703,0.054132
1662007201,18.65,8.709,0.053946
1662007801,18.625,8.7145,0.05408
1662008401,18.6025,8.719,0.053885
1662009001,18.585,8.7215,0.053845
1662009601,18.56,8.7245,0.053828
1662010201,18.54,8.7275,0.053743
1662010801,18.515,8.7335,0.053726
1662011401,18.495,8.7425,0.053776
1662012001,18.475,8.7445,0.05419
1662012601,18.4575,8.7485,0.053809
1662013201,18.4375,8.7515,0.054036
1662013801,18.42,8.757,0.054286
1662014401,18.4,8.759,0.054408
1662015001,18.38,8.7625,0.054281
1662015601,18.36,8.7675,0.054312
1662016201,18.34,8.768,0.054391
1662016801,18.3225,8.7755,0.054297
1662017401,18.305,8.775,0.054453
1662018001,18.2875,8.7805,0.054235
1662018601,18.27,8.7825,0.053964
1662019201,18.2475,8.788,0.054106
1662019801,18.2325,8.7935,0.054119
1662020401,18.215,8.795,0.054231
1662021001,18.2,8.797,0.054397
1662021601,18.185,8.8045,0.054292
1662022201,18.1675,8.807,0.054143
1662022801,18.1525,8.8065,0.053824
1662023401,18.135,8.81,0.053891
1662024001,18.115,8.815,0.054084
1662024601,18.1,8.813,0.053829
1662025201,18.0875,8.819,0.054072
1662025801,18.0725,8.82,0.05389
1662026401,18.055,8.824,0.053574
1662027001,18.035,8.826,0.053891
1662027601,18.025,8.83,0.053891
1662028201,18.005,8.834,0.053816
1662028801,17.99,8.839,0.053556
1662029401,17.9725,8.842,0.053506
1662030001,17.955,8.844,0.053558
1662030601,17.94,8.852,0.053423
1662031201,17.92,8.8535,0.053338
1662031801,17.9,8.859,0.053502
1662032401,17.89,8.862,0.05331
1662033001,17.8725,8.8675,0.053326
1662033601,17.86,8.872,0.053543
1662034201,17.845,8.8745,0.053629
1662034801,17.835,8.878,0.053678
1662035401,17.8225,8.88,0.053247
1662036001,17.8125,8.8825,0.053042
1662036601,17.805,8.8855,0.05337
1662037201,17.7925,8.8865,0.053297
1662037801,17.79,8.8855,0.052875
1662038401,17.795,8.886,0.052882
1662039001,17.7975,8.8825,0.053201
1662039601,17.805,8.8855,0.053291
1662040201,17.8175,8.883,0.053423
1662040801,17.83,8.88,0.053445
1662041401,17.8475,8.876,0.053477
1662042001,17.8675,8.873,0.05333
1662042601,17.89,8.8725,0.053866
1662043201,17.91,8.8685,0.054121
1662043801,17.935,8.8615,0.054009
1662044401,17.9625,8.8575,0.053908
1662045001,17.99,8.854,0.053695
1662045601,18.0225,8.8465,0.054375
1662046201,18.0575,8.839,0.054532
1662046801,18.1025,8.836,0.054269
1662047401,18.15,8.8295,0.054202
1662048001,18.2,8.8225,0.054617
1662048601,18.255,8.813,0.054824
1662049201,18.315,8.8055,0.055214
1662049801,18.375,8.795,0.055313
1662050401,18.4225,8.786,0.055399
1662051001,18.475,8.7705,0.055834
1662051601,18.54,8.7575,0.055058
1662052201,18.59,8.748,0.054999
1662052801,18.645,8.7375,0.055041
1662053401,18.7075,8.724,0.055104
1662054001,18.775,8.7115,0.054951
1662054601,18.8375,8.7015,0.055338
1662055201,18.895,8.694,0.055322
1662055801,18.9325,8.6885,0.054931
1662056401,18.96,8.684,0.055022
1662057001,18.985,8.677,0.054644
1662057601,19.0025,8.6715,0.054504
1662058201,19.025,8.6625,0.054515
1662058801,19.0475,8.6505,0.05433
1662059401,19.07,8.64,0.054153
1662060001,19.1025,8.6325,0.054033
1662060601,19.14,8.6255,0.054057
1662061201,19.145,8.6185,0.054022
1662061801,19.1525,8.6105,0.053667
1662062401,19.165,8.609,0.053196
1662063001,19.17,8.6055,0.053225
1662063601,19.17,8.5975,0.053108
1662064201,19.175,8.5995,0.052922
1662064801,19.18,8.5985,0.052413
1662065401,19.1775,8.59,0.051963
1662066001,19.1725,8.5955,0.051514
1662066601,19.175,8.594,0.051278
1662067201,19.175,8.593,0.051213
1662067801,19.1725,8.589,0.051549
1662068401,19.17,8.5935,0.050827
1662069001,19.1675,8.595,0.050844
1662069601,19.165,8.591,0.050702
1662070201,19.165,8.594,0.050327
1662070801,19.1625,8.6015,0.050225
1662071401,19.165,8.598,0.05009
1662072001,19.165,8.593,0.050035
1662072601,19.165,8.5885,0.050063
1662073201,19.165,8.5875,0.04928
1662073801,19.155,8.5875,0.049727
1662074401,19.1525,8.5865,0.049034
1662075001,19.1425,8.5905,0.049407
1662075601,19.135,8.592,0.049289
1662076201,19.125,8.5915,0.049208
1662076801,19.115,8.592,0.049218
1662077401,19.105,8.596,0.049317
1662078001,19.0975,8.5965,0.049018
1662078601,19.0825,8.5975,0.049016
1662079201,19.0725,8.599,0.049262
1662079801,19.06,8.6,0.048977
1662080401,19.0475,8.6075,0.04848
1662081001,19.035,8.61,0.049183
1662081601,19.0225,8.615,0.048887
1662082201,19.01,8.6175,0.048721
1662082801,18.995,8.6155,0.048879
1662083401,18.985,8.6225,0.048885
1662084001,18.975,8.6265,0.049091
1662084601,18.9625,8.631,0.049243
1662085201,18.9525,8.6335,0.049008
1662085801,18.94,8.636,0.049577
1662086401,18.93,8.6355,0.049325
1662087001,18.92,8.64,0.04924
1662087601,18.9075,8.6415,0.049686
1662088201,18.8975,8.646,0.049661
1662088801,18.8875,8.6455,0.049796
1662089401,18.8775,8.6505,0.049824
1662090001,18.8625,8.653,0.050006
1662090601,18.85,8.658,0.049958
1662091201,18.84,8.662,0.050079
1662091801,18.8225,8.663,0.050509
1662092401,18.8125,8.67,0.050708
1662093001,18.8,8.6685,0.050507
1662093601,18.785,8.6735,0.05075
1662094201,18.77,8.6755,0.051053
1662094801,18.7575,8.681,0.050919
1662095401,18.74,8.6845,0.051266
1662096001,18.7275,8.686,0.051232
1662096601,18.7125,8.689,0.051624
1662097201,18.7025,8.693,0.051944
1662097801,18.69,8.691,0.051707
1662098401,18.675,8.692,0.051915
1662099001,18.665,8.698,0.051812
1662099601,18.655,8.702,0.051802
1662100201,18.6425,8.7025,0.051794
1662100801,18.625,8.7025,0.051867
1662101401,18.61,8.7105,0.051994
1662102001,18.595,8.7125,0.051983
1662102601,18.5775,8.714,0.052047
1662103201,18.5625,8.72,0.051576
1662103801,18.545,8.72,0.051689
1662104401,18.53,8.722,0.05214
1662105001,18.515,8.723,0.052058
1662105601,18.5,8.728,0.051994
1662106201,18.4875,8.7315,0.051857
1662106801,18.4725,8.732,0.051978
1662107401,18.4625,8.737,0.052
1662108001,18.4525,8.74,0.052189
1662108601,18.44,8.741,0.052039
1662109201,18.4325,8.7435,0.051617
1662109801,18.42,8.748,0.051816
1662110401,18.4125,8.7525,0.051731
1662111001,18.405,8.751,0.052297
1662111601,18.3925,8.752,0.052139
1662112201,18.385,8.759,0.05189
1662112801,18.375,8.7585,0.051815
1662113401,18.37,8.7615,0.051989
1662114001,18.36,8.7615,0.051894
1662114601,18.3525,8.7605,0.052116
1662115201,18.345,8.767,0.05194
1662115801,18.335,8.7685,0.051653
1662116401,18.3275,8.7705,0.051756
1662117001,18.3175,8.773,0.051658
1662117601,18.31,8.7755,0.051609
1662118201,18.3025,8.7775,0.051508
1662118801,18.3,8.7865,0.051519
1662119401,18.29,8.7865,0.051292
1662120001,18.28,8.7895,0.051058
1662120601,18.2675,8.7915,0.050988
1662121201,18.26,8.794,0.051132
1662121801,18.25,8.7985,0.051402
1662122401,18.24,8.804,0.050836
1662123001,18.24,8.804,0.050928
1662123601,18.2375,8.8015,0.051116
1662124201,18.245,8.7985,0.050816
1662124801,18.25,8.796,0.051278
1662125401,18.2625,8.7965,0.051347
1662126001,18.2725,8.787,0.051529
1662126601,18.2875,8.7875,0.051501
1662127201,18.3025,8.7865,0.051536
1662127801,18.32,8.7895,0.051596
1662128401,18.34,8.783,0.051503
1662129001,18.3625,8.784,0.051186
1662129601,18.3875,8.783,0.051763
1662130201,18.4175,8.78,0.051746
1662130801,18.4475,8.778,0.051484
1662131401,18.4825,8.7725,0.05147
1662132001,18.52,8.7665,0.051552
1662132601,18.5525,8.7565,0.051317
1662133201,18.5875,8.755,0.051392
1662133801,18.62,8.754,0.051277
1662134401,18.665,8.7425,0.051139
1662135001,18.7125,8.7345,0.051269
1662135601,18.745,8.726,0.051513
1662136201,18.77,8.7265,0.051147
1662136801,18.8075,8.72,0.051131
1662137401,18.845,8.7165,0.050966
1662138001,18.87,8.712,0.050908
1662138601,18.905,8.706,0.050609
1662139201,18.935,8.6935,0.050676
1662139801,18.9625,8.6905,0.050539
1662140401,18.9925,8.687,0.050378
1662141001,19.0275,8.673,0.050471
1662141601,19.065,8.666,0.050298
1662142201,19.09,8.6695,0.05027
1662142801,19.1125,8.6645,0.050619
1662143401,19.1575,8.6535,0.050777
1662144001,19.2125,8.638,0.050246
1662144601,19.245,8.6345,0.050267
1662145201,19.265,8.636,0.05026
1662145801,19.2825,8.6295,0.049533
1662146401,19.3075,8.625,0.049162
1662147001,19.325,8.6145,0.048909
1662147601,19.335,8.61,0.049479
1662148201,19.355,8.6055,0.049269
1662148801,19.375,8.5945,0.049154
1662149401,19.3925,8.5845,0.049058
1662150001,19.405,8.5835,0.048658
1662150601,19.4075,8.5785,0.0486
1662151201,19.4125,8.58,0.048279
1662151801,19.4175,8.5785,0.047672
1662152401,19.4225,8.5725,0.04776
1662153001,19.43,8.571,0.0471
1662153601,19.435,8.5675,0.047601
1662154201,19.435,8.5625,0.046968
1662154801,19.4375,8.563,0.046855
1662155401,19.44,8.5655,0.046935
1662156001,19.44,8.5645,0.046405
1662156601,19.44,8.5575,0.04663
1662157201,19.44,8.5615,0.046448
1662157801,19.44,8.5575,0.04624
1662158401,19.4375,8.5575,0.046061
1662159001,19.435,8.5585,0.04567
1662159601,19.43,8.5515,0.045685
1662160201,19.43,8.5515,0.045591
1662160801,19.425,8.551,0.045603
1662161401,19.4125,8.5445,0.045554
1662162001,19.4,8.5475,0.045421
1662162601,19.3925,8.5525,0.045298
1662163201,19.38,8.551,0.045332
1662163801,19.37,8.5575,0.045231
1662164401,19.36,8.5575,0.045323
1662165001,19.345,8.5605,0.045167
1662165601,19.335,8.565,0.045446
1662166201,19.325,8.564,0.045411
1662166801,19.3125,8.568,0.045409
1662167401,19.3025,8.574,0.045468
1662168001,19.295,8.573,0.045702
1662168601,19.285,8.578,0.04578
1662169201,19.275,8.58,0.046077
1662169801,19.265,8.5875,0.046135
1662170401,19.2575,8.588,0.046219
1662171001,19.2525,8.5875,0.046607
1662171601,19.2425,8.587,0.046321
1662172201,19.235,8.5885,0.04672
1662172801,19.23,8.5915,0.046977
1662173401,19.22,8.596,0.047028
1662174001,19.2175,8.599,0.047157
1662174601,19.21,8.6015,0.047498
1662175201,19.205,8.606,0.047536
1662175801,19.2,8.601,0.047511
1662176401,19.195,8.6105,0.047703
1662177001,19.1925,8.6095,0.047917
1662177601,19.1825,8.613,0.047865
1662178201,19.1775,8.612,0.04813
1662178801,19.17,8.615,0.048299
1662179401,19.1675,8.616,0.048165
1662180001,19.16,8.62,0.048712
1662180601,19.1575,8.62,0.048641
1662181201,19.15,8.618,0.048872
1662181801,19.1425,8.622,0.048836
1662182401,19.14,8.624,0.049056
1662183001,19.13,8.6235,0.049148
1662183601,19.1275,8.626,0.049424
1662184201,19.12,8.623,0.049445
1662184801,19.12,8.62,0.049437
1662185401,19.1125,8.628,0.049745
1662186001,19.11,8.6275,0.049223
1662186601,19.1025,8.6285,0.049428
1662187201,19.0975,8.631,0.049854
1662187801,19.0925,8.6315,0.049726
1662188401,19.085,8.635,0.050161
1662189001,19.0825,8.6275,0.049994
1662189601,19.075,8.632,0.050144
1662190201,19.0725,8.6325,0.050145
1662190801,19.065,8.635,0.050559
1662191401,19.0625,8.6335,0.050561
